text,length,ind,aspects,polarities
"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",1,0,ambience,negative
All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,1,0,food,positive
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,1,0,anecdotes/miscellaneous,negative
The food was very well prepared.,1,0,food,positive
I try my best to give an accurate description of any establishment visited.,1,0,anecdotes/miscellaneous,neutral
"Great food, great lay out and awesome service.",3,0,food,positive
No free drink.,1,0,price,negative
The only thing more wonderful than the food  which is exceptional  is the service.,2,0,food,positive
We all felt it was worth it.,1,0,price,positive
"And Kruno, the beverage manager is the best bartender I have yet to come across.",1,0,service,positive
It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,1,0,service,negative
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",1,0,service,negative
really depends on your luck!,1,0,anecdotes/miscellaneous,neutral
We left after one drink.,1,0,anecdotes/miscellaneous,neutral
Not a small feat for good french food in the area.,1,0,food,positive
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,1,0,service,negative
One less manhattanite the better.,1,0,anecdotes/miscellaneous,neutral
I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.,1,0,ambience,positive
Go with a group of friends and you will have a great time.,1,0,anecdotes/miscellaneous,positive
Village is one of those places that scores on all fronts.,1,0,anecdotes/miscellaneous,positive
The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,1,0,service,negative
"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",1,0,food,positive
"More important, the sushi rivals the best in Tokyo.",1,0,food,positive
"My turkey burger was not cooked at all, my friends salmon was completely raw.",1,0,food,negative
I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,1,0,price,positive
Arigato Gozimas Yuka!,1,0,anecdotes/miscellaneous,neutral
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",3,0,food,positive
It's a much more grown up restaurant compared to the rest of the street.,1,0,ambience,neutral
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",1,0,anecdotes/miscellaneous,positive
"Quite frankly, this is some of the worst sushi I have ever tried.",1,0,food,negative
"Always a nice crowd, but never loud.",1,0,ambience,positive
Truly the mark of an attentive waiter.,1,0,service,positive
"Be sure to try the seasonal, and always delicious, specials.",1,0,food,positive
Restaurant was dirty and unkempt.,1,0,ambience,negative
The price very reasonable.,1,0,price,positive
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",1,0,food,positive
"Place should also have a 1,2,3 chili rating to be more authentic...",1,0,anecdotes/miscellaneous,neutral
"He always says, I don't have customers.",1,0,anecdotes/miscellaneous,neutral
I love this cozy around the way Rest.,1,0,ambience,positive
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",1,0,ambience,positive
"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",2,0,anecdotes/miscellaneous,positive
"The crispy chicken wasn't for us, though.",1,0,food,negative
dollar 20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,2,0,food,positive
This is a true gem of the village.,1,0,anecdotes/miscellaneous,positive
Came looking for this place because I heard good things.,1,0,anecdotes/miscellaneous,neutral
I lOVE THIS PLACE!,1,0,anecdotes/miscellaneous,positive
" food was delivered by a busboy, not waiter  We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another dollar 20 on wine.",1,0,service,negative
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",1,0,food,positive
Gigino's in Wagner Park is so enjoyable.,1,0,anecdotes/miscellaneous,positive
I will not be coming here at 3am again.,1,0,anecdotes/miscellaneous,negative
The service was friendly and the atmosphere was casual.,2,0,service,positive
Went last Thursday.,1,0,anecdotes/miscellaneous,neutral
The waiter actually poured water on my hand and walked away.,1,0,service,negative
Just go and see for yourself.,1,0,anecdotes/miscellaneous,neutral
Horrible.,1,0,anecdotes/miscellaneous,negative
"Nice restaurant overall, with classic upscale Italian decor.",1,0,ambience,positive
I was pleasantly suprised.,1,0,anecdotes/miscellaneous,positive
Also very inexpensive.,1,0,price,positive
"The food is mostly made from scratch, fresh and well prepared.",1,0,food,positive
I found this restaurant to be one that truly values its patrons.,1,0,anecdotes/miscellaneous,positive
Really cool stauff inside.,1,0,ambience,positive
I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,2,0,anecdotes/miscellaneous,negative
Our agreed favorite is the orrechiete with sausage and chicken  usually the waiters are kind enough to split the dish in half so you get to sample both meats .,2,0,food,positive
Excellent lunch buffet for only dollar 6.95.,2,0,food,positive
"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",2,0,food,negative
I had Filet Mignon with garlic mash.,1,0,food,neutral
"However, I do not understand the extraordinary hype about this restaurant.",1,0,anecdotes/miscellaneous,negative
"Terrible, terrible management - deserves to be shut-down.",1,0,service,negative
"If you are a vegetarian, this really isn't a good place to go.",1,0,anecdotes/miscellaneous,negative
"Been there, done that, and New York, it's not that big a deal.",1,0,anecdotes/miscellaneous,neutral
"For the people who want great food plus great service, Roxy is a place to AVOID!",2,0,food,negative
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",2,0,food,positive
I would have gotten some cole slaw and a knish if my stomach had more space.,1,0,food,positive
"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",1,0,ambience,negative
"A great addition to Smith Street: finally, a place that's not pretentious and filled with women wearing Ugg boots.",1,0,anecdotes/miscellaneous,positive
The fried rice is really good too.,1,0,food,positive
I went there for lunch and it was not as good as I expected from the reviews I read.,1,0,anecdotes/miscellaneous,negative
The sauce is delicious and the crust is perfect.,1,0,food,positive
Priced at upper intermediate range.,1,0,price,negative
This is one of the best comfort food places in the city.,1,0,food,positive
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",1,0,service,neutral
LOVE the atmosphere - felt like I was in Paris.,1,0,ambience,positive
Great Indian food and the service is incredible.,2,0,food,positive
"The Dim Sum was so-so, but not spectacular.",1,0,food,neutral
The sushi seemed pretty fresh and was adequately proportioned.,1,0,food,positive
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",1,0,food,positive
"We have been to this place many times, and always have great food, wine, and service.",2,0,food,positive
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",1,0,service,positive
You won't find that anywhere in Manhattan.,1,0,anecdotes/miscellaneous,positive
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food   try steak with portobello mushrooms  and drinks on the bar last Tuesday.",1,0,food,positive
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",1,0,ambience,neutral
"Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.",1,0,anecdotes/miscellaneous,positive
And when I visit her I make it a point to eat at 'Ino at least once daily if not once for the whole trip.,1,0,anecdotes/miscellaneous,positive
"I would never wait for a table to eat, it just is not THAT great.",1,0,anecdotes/miscellaneous,negative
"I asked for seltzer with lime, no ice.",1,0,food,neutral
Plus they made a perfect martini.,1,0,food,positive
The owners and employees are friendly and their pizza is fantastic.,2,0,food,positive
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",1,0,anecdotes/miscellaneous,neutral
I never had anything I didn't like here.,1,0,anecdotes/miscellaneous,positive
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",2,0,food,positive
Problem is nothing at Prune is particularly memorable.,1,0,anecdotes/miscellaneous,negative
"I have known about this secret for the last 13 years, Emilio the Godfather  has continued to serve food and wine for the gods at mortal prices.",2,0,price,positive
Also they were dollar 15 each!,1,0,price,negative
"Most importantly, food is excellent.",1,0,food,positive
Obviously run by folks who know a pie.,1,0,service,positive
I complete the total bagel experience by having it lightly toasted.,1,0,anecdotes/miscellaneous,neutral
It's somewhere you can eat and be happy.,1,0,anecdotes/miscellaneous,positive
"They're rude at times, and not very friendly.",1,0,service,negative
The garlic mashed potatoes are hands down the best in the city!,1,0,food,positive
"I don't get it, what's so special about Prune ?",1,0,anecdotes/miscellaneous,negative
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,1,0,ambience,negative
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,1,0,ambience,negative
You will be satisfied.,1,0,anecdotes/miscellaneous,positive
"The restaurant is dark and not very attractive and then you have spot lights shining on you putting you in the worst light possible, reaching for sunglasses.",1,0,ambience,negative
Very different than regular dimsum places.,1,0,anecdotes/miscellaneous,neutral
"You rarely have to wait for a seat and the currys  masaman, green, red  are full of flavor and come super spicy if you ask for it.",2,0,food,positive
delicious.,1,0,food,positive
"After being told that our party of three would be seated in 10 minutes and watching other parties  multiples of 2 and higher  seated for 40 minutes, the three of us were squished into a small 2-person table.",2,0,anecdotes/miscellaneous,negative
The staff there is very attentive and down to earth.,1,0,service,positive
You can even get packages of the chutneys to stock your fridge!,2,0,food,positive
I love it.,1,0,anecdotes/miscellaneous,positive
"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!",2,0,food,positive
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",2,0,food,positive
Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.,1,0,food,positive
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",2,0,food,positive
There are many Thai places in the city but so far Toons is #1.,1,0,anecdotes/miscellaneous,positive
The menu has lots of options: I hope to go back to try those potato pancakes.,1,0,food,positive
The desserts are more appealing then stuffy overpriced French restaurants.,1,0,food,positive
"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",1,0,anecdotes/miscellaneous,positive
The staff offers impeccable service.,1,0,service,positive
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",1,0,food,positive
The service was great as well.,1,0,service,positive
Go to Volare for 1st class service and terrific food.,2,0,food,positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",1,0,food,positive
Just bring someone who speaks Cantonese because waiter may not understand you.,1,0,service,negative
It is also extremely well priced.,1,0,price,positive
hmmm.,1,0,anecdotes/miscellaneous,neutral
"And forget what you read under me, the atmosphere isn't that bad either.",1,0,ambience,neutral
Nothing special about this place.,1,0,anecdotes/miscellaneous,neutral
"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",1,0,ambience,negative
Planet Thai is great!,1,0,anecdotes/miscellaneous,positive
Taxan delicious!,1,0,food,positive
"I've eaten thai many times, and am very familiar with the cuisine.",1,0,anecdotes/miscellaneous,neutral
"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",2,0,service,negative
Bleecker St Pizza is the best!,1,0,anecdotes/miscellaneous,positive
We usually just get some of the dinner specials and they are very reasonably priced and very tasty.,2,0,food,positive
Beef noodle soup is good as well.,1,0,food,positive
"If you're looking for a great meal at a decent price, go to Del Frisco's!",2,0,food,positive
and yes Dal Bukhara is so dam good and so are all the kababs.,1,0,food,positive
"If you live in Upper Manhattan, Siam Square is THE place for Thia food.",1,0,anecdotes/miscellaneous,positive
"The well mannered, pleasant staff that Tony has in his employ.",1,0,service,positive
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price  if bought by the pound .,2,0,food,positive
This place has got to be the best japanese restaurant in the new york area.,1,0,anecdotes/miscellaneous,positive
We weren't!,1,0,anecdotes/miscellaneous,neutral
They are served with a free appetizer and the portions are perfect for lunch.,2,0,food,positive
I have tried the various slice joints around the village but this is by far the best one.,1,0,anecdotes/miscellaneous,positive
"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",1,0,food,negative
Indoor was very cozy and cute.,1,0,ambience,positive
"Anyway, this is the last time I cross the williamsburg.",1,0,anecdotes/miscellaneous,negative
Don't go there!,1,0,anecdotes/miscellaneous,negative
My first encounter happened one friday evening with a friend.,1,0,anecdotes/miscellaneous,neutral
We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,1,0,anecdotes/miscellaneous,neutral
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",1,0,food,negative
"we did notice however, that some tables had what looked like pita instead of naan.",1,0,service,negative
This place has many different styles of pizza and they are all amazing.,1,0,food,positive
Here you get the zen feel without feeling rigid.,1,0,ambience,positive
"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",2,0,food,positive
Would definitely go back again.,1,0,anecdotes/miscellaneous,positive
I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,2,0,food,positive
"My husband and I ate here after reading reviews here as well as hobokeni.com,",1,0,anecdotes/miscellaneous,neutral
After the review I treked into Brooklyn.,1,0,anecdotes/miscellaneous,neutral
"Their eggplant is so delicate, sweet tender!",1,0,food,positive
I came to this restaurant expecting to be surprised but left bored and overcharged.,2,0,anecdotes/miscellaneous,negative
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",1,0,service,positive
"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",1,0,service,negative
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,1,0,service,positive
We took advanatage of the half price sushi deal on saturday so it was well worth it.,1,0,price,positive
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",1,0,food,positive
"While the prices are nothing special, the portions are huge.",2,0,price,positive
The service is ok but could be better.,1,0,service,negative
I've been frequenting The Tasting Room since it first arrived in the East Village and I've never been disappointed.,1,0,anecdotes/miscellaneous,positive
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",1,0,service,negative
The place was quiet and delightful.,1,0,ambience,positive
It's one of our favorite places to eat in NY.,1,0,anecdotes/miscellaneous,positive
"The service was superb, they treat you like family.",1,0,service,positive
"But they don't have a toaster, which is strange.",1,0,service,negative
I loved it and will be back soon.,1,0,anecdotes/miscellaneous,positive
You fellas above says its the best Taiwanese restaurant in town.,1,0,anecdotes/miscellaneous,neutral
"Alone for 100 bucks, it is really overprice.",1,0,price,negative
The pizza is the best if you like thin crusted pizza.,1,0,food,positive
Fantastic place.,1,0,anecdotes/miscellaneous,positive
Please save yourself the frustration.,1,0,anecdotes/miscellaneous,negative
"However, I think this place is a good hang out spot.",1,0,ambience,positive
"Not only would I not recommend Jimmy's restaurants to friends, I would strongly suggest they go anywhere but.",1,0,anecdotes/miscellaneous,negative
It has been my first choice ever since I discovered it .,1,0,anecdotes/miscellaneous,positive
"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",2,0,food,positive
"Waitstaff is great, very attentive.",1,0,service,positive
Get there before 7pm.,1,0,anecdotes/miscellaneous,neutral
I would highly recommend it.,1,0,anecdotes/miscellaneous,positive
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",1,0,food,positive
I recommend that you try this hidden spot which will surely blowup very soon,1,0,anecdotes/miscellaneous,positive
"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",1,0,food,positive
We were disappointed with the pre-fixe menu of only 2 choices per course  other restaurants offer 3 choices  and ended up ordering a la carte.,1,0,food,negative
"The Pad Thai is excellent here, as well.",1,0,food,positive
This is the pinnacle of Indian Fast Food  all fast foods in my opinion .,1,0,food,positive
The ambience is very calm and quiet.,1,0,ambience,positive
I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,2,0,anecdotes/miscellaneous,positive
"If just to drop in, quickly stuff yourself and jet out -- to keep their turn-over.",1,0,anecdotes/miscellaneous,negative
There is not a single place in Chinatown where you have a nice neighborhood feeling like here.,1,0,ambience,positive
The soup is pretty good too.,1,0,food,positive
"those rolls were big, but not good and sashimi wasn't fresh.",1,0,food,negative
it's the only place you can get yummy authentic japanese comfort food.,1,0,food,positive
For dinner I had the chicken tikka-masala and some garlic naan.,1,0,food,neutral
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",2,0,food,negative
The best pad thai i've ever had.,1,0,food,positive
Is just the way it was in days gone by.,1,0,anecdotes/miscellaneous,neutral
"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",1,0,food,positive
Its a go-to for dates as well as entertaining out of town guests.,1,0,ambience,positive
"The service was typical short-order, dinner type.",1,0,service,neutral
They're terrific!!,1,0,anecdotes/miscellaneous,positive
i would recommend reservations on weekends though.,1,0,anecdotes/miscellaneous,neutral
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",2,0,food,positive
"Sure, everyone's got their favorite, but to know Sal, is to know New York.",1,0,anecdotes/miscellaneous,neutral
"After the main course came, we didn't see our waiter for at least 40 MINUTES!",1,0,service,negative
"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",1,0,food,positive
"The one up front will smile and say What can I get for you, brother?",1,0,service,neutral
Every waitress and customer who passed by me bumped into my chair.,1,0,anecdotes/miscellaneous,negative
"Quality ingredients preparation all around, and a very fair price for NYC.",2,0,food,positive
"Good spreads, great beverage selections and bagels really tasty.",1,0,food,positive
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",1,0,price,positive
The takeout is great too since they give high quality tupperware as well.,1,0,service,positive
"If it isn't for the food  A+++ , it must be the service or the ambience.",3,0,food,positive
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",1,0,food,positive
"The kitchen however, is almost always slow.",1,0,service,negative
There is no excuse for such lousy service!,1,0,service,negative
Try sushimi cucumber roll.,1,0,food,positive
"They sell special sushi, everything have a topping, sauce and etc.",1,0,food,positive
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,1,0,food,positive
And evaluated on those terms Pastis is simply wonderful.,1,0,anecdotes/miscellaneous,positive
always fresh and delicious.,1,0,food,positive
Prices are in line.,1,0,price,neutral
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",1,0,food,positive
"For being number 1, this place has alot of work to do in order to truly earn its so called reputation.",1,0,anecdotes/miscellaneous,negative
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",3,0,food,positive
Won't or Can't is not in the service directory.,1,0,service,positive
The banana tower is an amazing dessert as well.,1,0,food,positive
Ambiance is barely romantic but management tries.,1,0,ambience,negative
Pastrami or corned beef are juicy and piled high  ask for extra rye bread .,1,0,food,positive
"Even with a relatively inexpensive botle of wine, if you can call dollar 70.00 inexpensive, the cost is through the roof for better than average fare.",1,0,price,negative
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",1,0,food,negative
"Please take my advice, go and try this place.",1,0,anecdotes/miscellaneous,positive
We were seated and ignored by waitstaff.,1,0,service,negative
The owner and staff are all Japanese as well and that adds to the entire ambiance.,1,0,ambience,positive
This quiet dark asian bistro is well worth the trip.,1,0,anecdotes/miscellaneous,positive
"Also, specify if you like your food spicy- its rather bland if you don't.",1,0,food,neutral
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,2,0,food,positive
I loved everythig about it-especially the shows and actors.,2,0,anecdotes/miscellaneous,positive
Its located in greenewich village.,1,0,anecdotes/miscellaneous,neutral
"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",3,0,food,positive
i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.,1,0,anecdotes/miscellaneous,positive
It is so easy to get a reservation at a top place in NYC with a week's notice.,1,0,anecdotes/miscellaneous,positive
Decent wine at reasonable prices.,2,0,food,positive
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",1,0,food,positive
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",2,0,food,negative
I can't wait to go back.,1,0,anecdotes/miscellaneous,positive
"Great selection of wine, and seafood.",1,0,food,positive
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",1,0,food,positive
Walk-ins are risky too.,1,0,anecdotes/miscellaneous,negative
Ummm...the beer was cold.,1,0,food,positive
The bagel was huge.,1,0,food,positive
It's simply the best meal in NYC.,1,0,anecdotes/miscellaneous,positive
Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge  although they have more funky toppings! ,1,0,anecdotes/miscellaneous,neutral
I had the Pad Thai and the noodles were sticky.,1,0,food,negative
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,2,0,food,negative
"Their calzones are horrific, bad, vomit-inducing, YUCK.",1,0,food,negative
Just stick with the small dishes!,1,0,food,neutral
"A big disappointment, all around.",1,0,anecdotes/miscellaneous,negative
"For authentic Thai food, look no further than Toons.",1,0,food,positive
"Besides, we were on vacation!",1,0,anecdotes/miscellaneous,neutral
A must try!,1,0,anecdotes/miscellaneous,positive
"Interesting selection, good wines, service fine, fun decor.",3,0,food,positive
Best Taiwanese food in NY!,1,0,food,positive
He was terribly thirsty after the meal too.,1,0,food,negative
The food was good.,1,0,food,positive
