text,ambience,anecdotes/miscellaneous,food,service,price
I ordered the chu chu curry and my friend ordered the pad thai chicken.,0,0,1,0,0
"Despite the fact that the space is large, they've overcrowded the floor with tables.",1,0,0,0,0
"Compared to Ess-a, Tal offers a less doughy bagel!",0,0,1,0,0
"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",0,0,1,0,0
Go girls!!!,0,1,0,0,0
Get the feeling they settled into a groove a while ago.,0,1,0,0,0
Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,0,1,1,0,0
Wonderful at holiday time.,0,1,0,0,0
this is can became on e of the NY Italian Food fare institutions.,0,1,0,0,0
The place was nice and calm.,1,0,0,0,0
The plain pizza was soggy and the creative wild mushroom third generation-Fornini  pizza we had was drenched with truffle oil in the middle  again making it soggy  and nothingon the rest.,0,0,1,0,0
I'm going back.,0,1,0,0,0
This place would be so much better served by being run by a group that actually understands customer service.,0,0,0,1,0
"Also, top the meal with a delicious and perfect slice of tiramisu.",0,0,1,0,0
Oh yeah ever on the west side try there sister resturant Arties Cafe.,0,1,0,0,0
"Also, because it is so thin, it gets cold very quickly and its not that filling.",0,0,1,0,0
but I wouldn't wanna live there.,0,1,0,0,0
Now it's so crowded and loud you can't even talk to the person next to you.,1,0,0,0,0
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,1,0,0,0,0
"by dinner time, they turn it around and mount a huge comeback!!",0,1,0,0,0
The food was good too.,0,0,1,0,0
"We concluded with tiramisu chocolate cake, both were delicious.",0,0,1,0,0
I thought I had died and gone to heaven.,0,1,0,0,0
 and I have eaten my share  Which impresses me for having such a large amount of people to serve.,0,0,0,1,0
I also recommend the rice dishes or the different varieties of congee  rice porridge .,0,0,1,0,0
I have NEVER been disappointed in the Red Eye.,0,1,0,0,0
They are amazing!,0,1,0,0,0
We were pleasantly surprised.,0,1,0,0,0
"This is my fourth try over a two year period, and I'm done.",0,1,0,0,0
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.,0,0,1,0,0
For the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated.,0,0,0,1,0
My only problem is that you are literally sitting on top of the people next to you!,1,0,0,0,0
It seems like this is a place the locals like and the people working here liked it too.,0,1,0,0,0
We also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them.,0,1,1,0,0
The music is the best among all the Indian restaurants I have visited.,1,0,0,0,0
The prices were CHEAP compared to the quality of service and food.,0,0,1,1,1
Try the Times Square cocktail -- ginger lemonade with vodka  also available without vodka. ,0,0,1,0,0
The seats are uncomfortable if you are sitting against the wall on wooden benches.,1,0,0,0,0
"This time, I prefer not to go into detail.",0,1,0,0,0
"They did not have mayonnaise, forgot our toast, left out ingredients  ie cheese in an omelet , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",0,0,1,0,0
I have to say I have never had a disapointing meal here.,0,0,1,0,0
Terrific menu full of unique rolls and special dishes.,0,0,1,0,0
"believe us, we've been eating sushi for over 15 yrs.",0,1,0,0,0
Boy was I wrong!,0,1,0,0,0
"The place is larger than most and features adequate seating unlike most joints, and has a bar which deserves a mention.",1,0,0,0,0
What a great place!,0,1,0,0,0
We were very disappointed.,0,1,0,0,0
"The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.",1,0,0,0,0
All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,0,0,1,0,0
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,0,1,0,0,0
The food was very well prepared.,0,0,1,0,0
I try my best to give an accurate description of any establishment visited.,0,1,0,0,0
"Great food, great lay out and awesome service.",1,0,1,1,0
No free drink.,0,0,0,0,1
The only thing more wonderful than the food  which is exceptional  is the service.,0,0,1,1,0
We all felt it was worth it.,0,0,0,0,1
"And Kruno, the beverage manager is the best bartender I have yet to come across.",0,0,0,1,0
It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,0,0,0,1,0
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",0,0,0,1,0
really depends on your luck!,0,1,0,0,0
We left after one drink.,0,1,0,0,0
Not a small feat for good french food in the area.,0,0,1,0,0
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,0,0,0,1,0
One less manhattanite the better.,0,1,0,0,0
I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.,1,0,0,0,0
Go with a group of friends and you will have a great time.,0,1,0,0,0
Village is one of those places that scores on all fronts.,0,1,0,0,0
The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.,0,0,0,1,0
"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",0,0,1,0,0
"More important, the sushi rivals the best in Tokyo.",0,0,1,0,0
"My turkey burger was not cooked at all, my friends salmon was completely raw.",0,0,1,0,0
I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,0,0,0,0,1
Arigato Gozimas Yuka!,0,1,0,0,0
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",1,0,1,1,0
It's a much more grown up restaurant compared to the rest of the street.,1,0,0,0,0
"However, I think Jeckll and Hydes t is one of those places that is fun to do once.",0,1,0,0,0
"Quite frankly, this is some of the worst sushi I have ever tried.",0,0,1,0,0
"Always a nice crowd, but never loud.",1,0,0,0,0
Truly the mark of an attentive waiter.,0,0,0,1,0
"Be sure to try the seasonal, and always delicious, specials.",0,0,1,0,0
Restaurant was dirty and unkempt.,1,0,0,0,0
The price very reasonable.,0,0,0,0,1
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",0,0,1,0,0
"Place should also have a 1,2,3 chili rating to be more authentic...",0,1,0,0,0
"He always says, I don't have customers.",0,1,0,0,0
I love this cozy around the way Rest.,1,0,0,0,0
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",1,0,0,0,0
"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",0,1,1,0,0
"The crispy chicken wasn't for us, though.",0,0,1,0,0
dollar 20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,0,0,1,0,1
This is a true gem of the village.,0,1,0,0,0
Came looking for this place because I heard good things.,0,1,0,0,0
I lOVE THIS PLACE!,0,1,0,0,0
" food was delivered by a busboy, not waiter  We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another dollar 20 on wine.",0,0,0,1,0
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",0,0,1,0,0
Gigino's in Wagner Park is so enjoyable.,0,1,0,0,0
I will not be coming here at 3am again.,0,1,0,0,0
The service was friendly and the atmosphere was casual.,1,0,0,1,0
Went last Thursday.,0,1,0,0,0
The waiter actually poured water on my hand and walked away.,0,0,0,1,0
Just go and see for yourself.,0,1,0,0,0
Horrible.,0,1,0,0,0
"Nice restaurant overall, with classic upscale Italian decor.",1,0,0,0,0
I was pleasantly suprised.,0,1,0,0,0
Also very inexpensive.,0,0,0,0,1
"The food is mostly made from scratch, fresh and well prepared.",0,0,1,0,0
I found this restaurant to be one that truly values its patrons.,0,1,0,0,0
Really cool stauff inside.,1,0,0,0,0
I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,1,1,0,0,0
Our agreed favorite is the orrechiete with sausage and chicken  usually the waiters are kind enough to split the dish in half so you get to sample both meats .,0,0,1,1,0
Excellent lunch buffet for only dollar 6.95.,0,0,1,0,1
"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",0,0,1,0,1
I had Filet Mignon with garlic mash.,0,0,1,0,0
"However, I do not understand the extraordinary hype about this restaurant.",0,1,0,0,0
"Terrible, terrible management - deserves to be shut-down.",0,0,0,1,0
"If you are a vegetarian, this really isn't a good place to go.",0,1,0,0,0
"Been there, done that, and New York, it's not that big a deal.",0,1,0,0,0
"For the people who want great food plus great service, Roxy is a place to AVOID!",0,0,1,1,0
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",0,0,1,1,0
I would have gotten some cole slaw and a knish if my stomach had more space.,0,0,1,0,0
"The seating was if they were trying to get the maximum amount of people into the restaurant, so be nice to your neighbor when you dine here.",1,0,0,0,0
"A great addition to Smith Street: finally, a place that's not pretentious and filled with women wearing Ugg boots.",0,1,0,0,0
The fried rice is really good too.,0,0,1,0,0
I went there for lunch and it was not as good as I expected from the reviews I read.,0,1,0,0,0
The sauce is delicious and the crust is perfect.,0,0,1,0,0
Priced at upper intermediate range.,0,0,0,0,1
This is one of the best comfort food places in the city.,0,0,1,0,0
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",0,0,0,1,0
LOVE the atmosphere - felt like I was in Paris.,1,0,0,0,0
Great Indian food and the service is incredible.,0,0,1,1,0
"The Dim Sum was so-so, but not spectacular.",0,0,1,0,0
The sushi seemed pretty fresh and was adequately proportioned.,0,0,1,0,0
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",0,0,1,0,0
"We have been to this place many times, and always have great food, wine, and service.",0,0,1,1,0
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",0,0,0,1,0
You won't find that anywhere in Manhattan.,0,1,0,0,0
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food   try steak with portobello mushrooms  and drinks on the bar last Tuesday.",0,0,1,0,0
"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",1,0,0,0,0
"Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.",0,1,0,0,0
And when I visit her I make it a point to eat at 'Ino at least once daily if not once for the whole trip.,0,1,0,0,0
"I would never wait for a table to eat, it just is not THAT great.",0,1,0,0,0
"I asked for seltzer with lime, no ice.",0,0,1,0,0
Plus they made a perfect martini.,0,0,1,0,0
The owners and employees are friendly and their pizza is fantastic.,0,0,1,1,0
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",0,1,0,0,0
I never had anything I didn't like here.,0,1,0,0,0
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",0,0,1,1,0
Problem is nothing at Prune is particularly memorable.,0,1,0,0,0
"I have known about this secret for the last 13 years, Emilio the Godfather  has continued to serve food and wine for the gods at mortal prices.",0,0,1,0,1
Also they were dollar 15 each!,0,0,0,0,1
"Most importantly, food is excellent.",0,0,1,0,0
Obviously run by folks who know a pie.,0,0,0,1,0
I complete the total bagel experience by having it lightly toasted.,0,1,0,0,0
It's somewhere you can eat and be happy.,0,1,0,0,0
"They're rude at times, and not very friendly.",0,0,0,1,0
The garlic mashed potatoes are hands down the best in the city!,0,0,1,0,0
"I don't get it, what's so special about Prune ?",0,1,0,0,0
But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,1,0,0,0,0
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,1,0,0,0,0
You will be satisfied.,0,1,0,0,0
"The restaurant is dark and not very attractive and then you have spot lights shining on you putting you in the worst light possible, reaching for sunglasses.",1,0,0,0,0
Very different than regular dimsum places.,0,1,0,0,0
"You rarely have to wait for a seat and the currys  masaman, green, red  are full of flavor and come super spicy if you ask for it.",0,0,1,1,0
delicious.,0,0,1,0,0
"After being told that our party of three would be seated in 10 minutes and watching other parties  multiples of 2 and higher  seated for 40 minutes, the three of us were squished into a small 2-person table.",0,1,0,1,0
The staff there is very attentive and down to earth.,0,0,0,1,0
You can even get packages of the chutneys to stock your fridge!,0,0,1,1,0
I love it.,0,1,0,0,0
"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!",1,0,1,0,0
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",0,0,1,1,0
Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.,0,0,1,0,0
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",0,0,1,0,1
There are many Thai places in the city but so far Toons is #1.,0,1,0,0,0
The menu has lots of options: I hope to go back to try those potato pancakes.,0,0,1,0,0
The desserts are more appealing then stuffy overpriced French restaurants.,0,0,1,0,0
"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",0,1,0,0,0
The staff offers impeccable service.,0,0,0,1,0
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",0,0,1,0,0
The service was great as well.,0,0,0,1,0
Go to Volare for 1st class service and terrific food.,0,0,1,1,0
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",0,0,1,0,0
Just bring someone who speaks Cantonese because waiter may not understand you.,0,0,0,1,0
It is also extremely well priced.,0,0,0,0,1
hmmm.,0,1,0,0,0
"And forget what you read under me, the atmosphere isn't that bad either.",1,0,0,0,0
Nothing special about this place.,0,1,0,0,0
"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",1,0,0,0,0
Planet Thai is great!,0,1,0,0,0
Taxan delicious!,0,0,1,0,0
"I've eaten thai many times, and am very familiar with the cuisine.",0,1,0,0,0
"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",0,0,1,1,0
Bleecker St Pizza is the best!,0,1,0,0,0
We usually just get some of the dinner specials and they are very reasonably priced and very tasty.,0,0,1,0,1
Beef noodle soup is good as well.,0,0,1,0,0
"If you're looking for a great meal at a decent price, go to Del Frisco's!",0,0,1,0,1
and yes Dal Bukhara is so dam good and so are all the kababs.,0,0,1,0,0
"If you live in Upper Manhattan, Siam Square is THE place for Thia food.",0,1,0,0,0
"The well mannered, pleasant staff that Tony has in his employ.",0,0,0,1,0
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price  if bought by the pound .,0,0,1,0,1
This place has got to be the best japanese restaurant in the new york area.,0,1,0,0,0
We weren't!,0,1,0,0,0
They are served with a free appetizer and the portions are perfect for lunch.,0,0,1,0,1
I have tried the various slice joints around the village but this is by far the best one.,0,1,0,0,0
"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",0,0,1,0,0
Indoor was very cozy and cute.,1,0,0,0,0
"Anyway, this is the last time I cross the williamsburg.",0,1,0,0,0
Don't go there!,0,1,0,0,0
My first encounter happened one friday evening with a friend.,0,1,0,0,0
We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,0,1,0,0,0
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",0,0,1,0,0
"we did notice however, that some tables had what looked like pita instead of naan.",0,0,0,1,0
This place has many different styles of pizza and they are all amazing.,0,0,1,0,0
Here you get the zen feel without feeling rigid.,1,0,0,0,0
"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",0,1,1,0,0
Would definitely go back again.,0,1,0,0,0
I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,0,0,1,0,1
"My husband and I ate here after reading reviews here as well as hobokeni.com,",0,1,0,0,0
After the review I treked into Brooklyn.,0,1,0,0,0
"Their eggplant is so delicate, sweet tender!",0,0,1,0,0
I came to this restaurant expecting to be surprised but left bored and overcharged.,0,1,0,0,1
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",0,0,0,1,0
"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",0,0,0,1,0
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,0,0,0,1,0
We took advanatage of the half price sushi deal on saturday so it was well worth it.,0,0,0,0,1
"From the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",0,0,1,0,0
"While the prices are nothing special, the portions are huge.",0,0,1,0,1
The service is ok but could be better.,0,0,0,1,0
I've been frequenting The Tasting Room since it first arrived in the East Village and I've never been disappointed.,0,1,0,0,0
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",0,0,0,1,0
The place was quiet and delightful.,1,0,0,0,0
It's one of our favorite places to eat in NY.,0,1,0,0,0
"The service was superb, they treat you like family.",0,0,0,1,0
"But they don't have a toaster, which is strange.",0,0,0,1,0
I loved it and will be back soon.,0,1,0,0,0
You fellas above says its the best Taiwanese restaurant in town.,0,1,0,0,0
"Alone for 100 bucks, it is really overprice.",0,0,0,0,1
The pizza is the best if you like thin crusted pizza.,0,0,1,0,0
Fantastic place.,0,1,0,0,0
Please save yourself the frustration.,0,1,0,0,0
"However, I think this place is a good hang out spot.",1,0,0,0,0
"Not only would I not recommend Jimmy's restaurants to friends, I would strongly suggest they go anywhere but.",0,1,0,0,0
It has been my first choice ever since I discovered it .,0,1,0,0,0
"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",0,0,1,1,0
"Waitstaff is great, very attentive.",0,0,0,1,0
Get there before 7pm.,0,1,0,0,0
I would highly recommend it.,0,1,0,0,0
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",0,0,1,0,0
I recommend that you try this hidden spot which will surely blowup very soon,0,1,0,0,0
"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",0,0,1,0,0
We were disappointed with the pre-fixe menu of only 2 choices per course  other restaurants offer 3 choices  and ended up ordering a la carte.,0,0,1,0,0
"The Pad Thai is excellent here, as well.",0,0,1,0,0
This is the pinnacle of Indian Fast Food  all fast foods in my opinion .,0,0,1,0,0
The ambience is very calm and quiet.,1,0,0,0,0
I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,1,1,0,0,0
"If just to drop in, quickly stuff yourself and jet out -- to keep their turn-over.",0,1,0,0,0
There is not a single place in Chinatown where you have a nice neighborhood feeling like here.,1,0,0,0,0
The soup is pretty good too.,0,0,1,0,0
"those rolls were big, but not good and sashimi wasn't fresh.",0,0,1,0,0
it's the only place you can get yummy authentic japanese comfort food.,0,0,1,0,0
For dinner I had the chicken tikka-masala and some garlic naan.,0,0,1,0,0
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",0,0,1,1,0
The best pad thai i've ever had.,0,0,1,0,0
Is just the way it was in days gone by.,0,1,0,0,0
"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",0,0,1,0,0
Its a go-to for dates as well as entertaining out of town guests.,1,0,0,0,0
"The service was typical short-order, dinner type.",0,0,0,1,0
They're terrific!!,0,1,0,0,0
i would recommend reservations on weekends though.,0,1,0,0,0
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",0,0,1,0,1
"Sure, everyone's got their favorite, but to know Sal, is to know New York.",0,1,0,0,0
"After the main course came, we didn't see our waiter for at least 40 MINUTES!",0,0,0,1,0
"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",0,0,1,0,0
"The one up front will smile and say What can I get for you, brother?",0,0,0,1,0
Every waitress and customer who passed by me bumped into my chair.,0,1,0,0,0
"Quality ingredients preparation all around, and a very fair price for NYC.",0,0,1,0,1
"Good spreads, great beverage selections and bagels really tasty.",0,0,1,0,0
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",0,0,0,0,1
The takeout is great too since they give high quality tupperware as well.,0,0,0,1,0
"If it isn't for the food  A+++ , it must be the service or the ambience.",1,0,1,1,0
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",0,0,1,0,0
"The kitchen however, is almost always slow.",0,0,0,1,0
There is no excuse for such lousy service!,0,0,0,1,0
Try sushimi cucumber roll.,0,0,1,0,0
"They sell special sushi, everything have a topping, sauce and etc.",0,0,1,0,0
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,0,0,1,0,0
And evaluated on those terms Pastis is simply wonderful.,0,1,0,0,0
always fresh and delicious.,0,0,1,0,0
Prices are in line.,0,0,0,0,1
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",0,0,1,0,0
"For being number 1, this place has alot of work to do in order to truly earn its so called reputation.",0,1,0,0,0
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",1,0,1,1,0
Won't or Can't is not in the service directory.,0,0,0,1,0
The banana tower is an amazing dessert as well.,0,0,1,0,0
Ambiance is barely romantic but management tries.,1,0,0,0,0
Pastrami or corned beef are juicy and piled high  ask for extra rye bread .,0,0,1,0,0
"Even with a relatively inexpensive botle of wine, if you can call dollar 70.00 inexpensive, the cost is through the roof for better than average fare.",0,0,0,0,1
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",0,0,1,0,0
"Please take my advice, go and try this place.",0,1,0,0,0
We were seated and ignored by waitstaff.,0,0,0,1,0
The owner and staff are all Japanese as well and that adds to the entire ambiance.,1,0,0,0,0
This quiet dark asian bistro is well worth the trip.,0,1,0,0,0
"Also, specify if you like your food spicy- its rather bland if you don't.",0,0,1,0,0
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,1,0,1,0,0
I loved everythig about it-especially the shows and actors.,1,1,0,0,0
Its located in greenewich village.,0,1,0,0,0
"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",1,0,1,1,0
i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.,0,1,0,0,0
It is so easy to get a reservation at a top place in NYC with a week's notice.,0,1,0,0,0
Decent wine at reasonable prices.,0,0,1,0,1
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",0,0,1,0,0
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",0,0,1,1,0
I can't wait to go back.,0,1,0,0,0
"Great selection of wine, and seafood.",0,0,1,0,0
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",0,0,1,0,0
Walk-ins are risky too.,0,1,0,0,0
Ummm...the beer was cold.,0,0,1,0,0
The bagel was huge.,0,0,1,0,0
It's simply the best meal in NYC.,0,1,0,0,0
Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge  although they have more funky toppings! ,0,1,0,0,0
I had the Pad Thai and the noodles were sticky.,0,0,1,0,0
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,0,0,1,1,0
"Their calzones are horrific, bad, vomit-inducing, YUCK.",0,0,1,0,0
Just stick with the small dishes!,0,0,1,0,0
"A big disappointment, all around.",0,1,0,0,0
"For authentic Thai food, look no further than Toons.",0,0,1,0,0
"Besides, we were on vacation!",0,1,0,0,0
A must try!,0,1,0,0,0
"Interesting selection, good wines, service fine, fun decor.",1,0,1,1,0
Best Taiwanese food in NY!,0,0,1,0,0
He was terribly thirsty after the meal too.,0,0,1,0,0
The food was good.,0,0,1,0,0
I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,1,0,1,0,0
Stay away from this place.,0,1,0,0,0
"No refills on fountain drinks, though.",0,0,1,0,0
Go here.,0,1,0,0,0
Go for it!,0,1,0,0,0
The pizza was really good.,0,0,1,0,0
The highly spiced chai tea was great too.,0,0,1,0,0
Authentic bistro!,0,1,0,0,0
"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",0,1,0,0,0
And they have these home made potato chips at the bar that are the most delicious things in the world!,0,0,1,0,0
I wish they had one near my office- I would go everyday.,0,1,0,0,0
"If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.",0,1,0,0,0
We spent dollar 200 in this place and left hungry and very disappointed.,0,1,0,0,1
The rice was poor quality and was cooked so badly it was hard.,0,0,1,0,0
This place is to be avoided.,0,1,0,0,0
They were such a rip-off  dollar 8.95 for four small meat patties in steamed buns  and not worth trying.,0,0,1,0,1
Food is excellent.,0,0,1,0,0
I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,0,0,1,0,0
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",0,0,1,0,0
We ended the dinner with a surprisingly light and flaky apple tarte tatin.,0,0,1,0,0
"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",0,0,0,1,0
Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.,0,0,1,0,1
Went to Ottimo and was expecting outstanding pizza  as I love La Pizza Fresca .,0,1,0,0,0
"It is set far from the small street it's on, and there is no traffic noise.",1,0,0,0,0
Downstairs lounge is always a good attraction,1,0,0,0,0
"If only they delivered, they'd make a mint!",0,1,0,0,0
"We started with lox and mussels  the best ive ever had, ever  and had the cod and trout for dinner.",0,0,1,0,0
We'd go back again,0,1,0,0,0
"Raga's is a romantic, cozy restaurant.",1,0,0,0,0
I've rarely had a problem with slow staff in the 10 years I've been going.,0,0,0,1,0
It was wonderful.,0,1,0,0,0
"Go there on an empty stomach and leave feeling like a baby Veal Calf ok bad joke , but you will see.",0,1,0,0,0
I highly recommend it.,0,1,0,0,0
"I went at 6:00 PM specifically for the pre-theater menu  dollar 19.95 for roasted tomato soup with chevre, steak frites, creme brulee  and it was marvelous.",0,0,1,0,1
